zone_id,zone_name,monkey_id,monkey_number,monkey_name,artwork_filename,clue,question,option_a,option_b,option_c,correct_option,emoji_icon,
upper-thomson-exit-4,Exit 4,exit-4-monkey-1,1,Carpark Scout,monkey-1_2.png,"This cheeky monkey loves glass panels—peer through the glass, even if it looks a little dusty. You’ll be closer to street level for this one. Location hint: Near carpark exit.",Where did you see this monkey?,Near the carpark exit,Above the exit walkway,Between the escalators,A,🐒,
upper-thomson-exit-4,Exit 4,exit-4-monkey-2,2,Carpark Scout,monkey-1_2.png,"This cheeky monkey loves glass panels—peer through the glass, even if it looks a little dusty. You’ll be closer to street level for this one. Location hint: Near carpark exit.",Where did you see this monkey?,Above the exit walkway,Near the carpark exit,Between the escalators,B,🐒,
upper-thomson-exit-3,Exit 3,exit-3-monkey-3,3,Exit Explorer,monkey-3.png,This playful monkey is somewhere around Exit 3. Location hint: Walkway leading to Exit 3 (Left side from station to Exit).,Where did you see this monkey?,On the ceiling,In the concourse,Near the exit,C,🐒,
upper-thomson-exit-3,Exit 3,exit-3-monkey-4,4,Exit Explorer,monkey-4.png,This playful monkey is somewhere around Exit 3. Location hint: Walkway leading to Exit 3 (Left side from station to Exit).,Where did you see this monkey?,Near the exit,On the ceiling,In the concourse,A,🐒,
upper-thomson-platform,Platform,platform-monkey-5,5,Lift Shaft Lurker,monkey-5.png,"This cheeky monkey loves glass panels—peer through the glass, even if it looks a little dusty. Location hint: Lift shaft facing train towards Woodlands.",Where did you see this monkey?,Along the roadside walkway,On the lift shaft glass,In the concourse,B,🐒,
upper-thomson-platform,Platform,platform-monkey-6,6,Lift Shaft Lurker,monkey-6.png,"This cheeky monkey loves glass panels—peer through the glass, even if it looks a little dusty. Location hint: Lift shaft facing train towards Woodlands.",Where did you see this monkey?,Along the roadside walkway,In the concourse,On the lift shaft glass,C,🐒,
upper-thomson-exit-4,Exit 4,exit-4-monkey-7,7,Bojio Bandit,monkey-7.png,"This cheeky monkey loves glass panels—peer through the glass, even if it looks a little dusty. You’ll be closer to street level for this one. Location hint: Facing Bojio. Extra hint: Don't say no banana (""bojio"").",Where did you see this monkey?,Facing Bojio,By the bench,At street level,A,🐒,
upper-thomson-exit-5,Exit 5,exit-5-monkey-8,8,Roadside Rascal,monkey-8.png,"This cheeky monkey loves glass panels—peer through the glass, even if it looks a little dusty. Heads up—this one may be higher than eye level. You’ll be closer to street level for this one. Location hint: Along the main road.",Where did you see this monkey?,Near the gantry,Along the roadside walkway,Between the escalators,B,🐒,
upper-thomson-exit-1-exit-2,"Exit 1, Exit 2",exit-1-exit-2-monkey-9,9,Tunnel Trickster,monkey-9.png,"This monkey is playing hide-and-seek in the tunnel, so scan the wall as you walk. You might notice the tail before you spot the whole monkey. Location hint: Tunnel towards Exit 1 and 2 - Right side middle section. Extra hint: Top of 10.",Where did you see this monkey?,By the lift shaft,Near the floor,Along the tunnel wall,C,🐒,
upper-thomson-exit-1-exit-2,"Exit 1, Exit 2",exit-1-exit-2-monkey-10,10,Tunnel Trickster,monkey-10.png,"This monkey is playing hide-and-seek in the tunnel, so scan the wall as you walk. Location hint: Tunnel towards Exit 1 and 2 - Right side middle section. Extra hint: Bottom of 9.",Where did you see this monkey?,Along the tunnel wall,By the lift shaft,Near the floor,A,🐒,
